,meter_id,location,violation_description,fine_amount,counts,revenue,latitude,longitude,meter_type,policy_complexity,rate_type,park_limit
0,WP166,3000 SANBORN AV,METER EXPIRED,63.0,75,4725.0,33.980971999999994,-118.464376,Single-Space,11,FLAT,2.0
1,SO226,4501 LEMONA AV,METER EXPIRED,63.0,82,5166.0,34.153472,-118.45966200000001,Single-Space,13,FLAT,2.0
2,WW2041A,601 GRAMERCY PL S,METER EXPIRED,63.0,19,1197.0,34.062073999999996,-118.312878,Single-Space,13,FLAT,2.0
3,VN899,6300 VAN NUYS BL,METER EXPIRED,63.0,25,1575.0,34.185320000000004,-118.44856999999999,Single-Space,13,TOD,2.0
4,ER108,5001 CASPAR AV,METER EXPIRED,63.0,308,19404.0,34.13875,-118.213172,Single-Space,13,FLAT,1.0
5,W102,5901 98TH ST W,METER EXPIRED,63.0,102,6426.0,33.947435999999996,-118.388326,Single-Space,12,FLAT,2.0
6,HP174,101 AVENUE 58 W,METER EXPIRED,63.0,17,1071.0,34.110881,-118.19234099999998,Single-Space,56,FLAT,2.0
7,MV166,12216 VENICE BL,METER EXPIRED,63.0,98,6174.0,34.004523,-118.43158700000001,Single-Space,13,FLAT,2.0
8,VM242,8400 VERMONT AV S,METER EXPIRED,63.0,20,1260.0,33.961737,-118.29151599999999,Single-Space,13,FLAT,2.0
9,P57,801 VIA DE LA PAZ,METER EXPIRED,63.0,34,2142.0,34.046403999999995,-118.52736999999999,Single-Space,13,FLAT,2.0
10,SP584,301 6TH ST W,METER EXPIRED,63.0,22,1386.0,33.738693,-118.284952,Single-Space,13,FLAT,2.0
11,R218A,7100 RESEDA BL,METER EXPIRED,63.0,12,756.0,34.200815999999996,-118.53591000000002,Single-Space,13,FLAT,2.0
12,CP46,21701 SHERMAN WY,METER EXPIRED,63.0,12,756.0,34.201133,-118.60196200000001,Single-Space,13,FLAT,2.0
13,WN31,700 AVALON BL N,METER EXPIRED,63.0,13,819.0,33.779432,-118.262299,Single-Space,13,FLAT,2.0
14,WN355,1101 FIGUEROA PL,METER EXPIRED,63.0,11,693.0,33.784145,-118.281449,Single-Space,13,FLAT,2.0
15,P312,101 WEST CHANNEL RD,METER EXPIRED,63.0,13,819.0,34.029236,-118.51796100000001,Single-Space,13,FLAT,1.0
16,LP275,4301 DEGNAN BL,METER EXPIRED,63.0,13,819.0,34.00523,-118.33158300000001,Single-Space,13,FLAT,2.0
